T,X,Y,Z,Label,Perimeter,Volume,Intensity,ExtentX,ExtentY,ExtentZ
37,242,288,1,259,84.53120420539513,10200,6989,50,51,4
37,324,275,1,290,91.6497847606367,13000,6780,50,52,5
37,333,391,2,322,100.24247243516605,17010,9390,45,54,7
37,408,376,2,353,95.4562904663716,14688,8698,48,51,6
37,412,113,8,386,84.50909876395691,10192,5769,49,52,4
37,480,149,7,417,101.83947531918562,17836,9760,49,52,7
37,535,253,9,480,45.815490473534105,1624,672,29,28,2
37,293,347,9,513,85.67586624833346,10620,5832,59,60,3
37,380,261,9,564,84.71313457412506,10266,5015,58,59,3
37,412,384,9,610,84.1984007430482,10080,5661,60,56,3
37,495,368,6,625,130.39540230922563,37440,21204,64,65,9
37,448,271,1,642,101.00280028421084,17400,9344,58,60,5
37,543,231,1,671,109.74423833317675,22320,12970,62,60,6
37,587,305,7,703,99.84210572568311,16807,8952,49,49,7
37,558,369,9,718,73.51026977513722,6708,3279,43,39,4
38,134,246,8,4,96.95343605594265,15390,10008,54,57,5
38,181,219,2,35,106.52352232928088,20412,11658,54,54,7
38,194,347,9,67,59.33712827983752,3528,1593,42,42,2
38,233,387,4,98,112.05531927655443,23760,12668,55,54,8
38,294,165,10,162,31.85770938260813,546,372,21,26,1
38,279,150,3,194,112.73036760323899,24192,12009,54,56,8
38,390,176,1,225,94.63029846087028,14310,8914,54,53,5
38,228,290,1,259,88.38593938633883,11660,7283,55,53,4
38,330,280,1,290,88.38593938633883,11660,6940,53,55,4
38,330,398,2,322,106.47479244035414,20384,12053,52,56,7
38,413,380,2,353,102.5276007558644,18200,10421,50,52,7
38,412,108,8,386,94.63029846087028,14310,6894,54,53,5
38,488,153,7,417,107.83460162716335,21175,12508,55,55,7
38,541,259,9,480,68.94819062294012,5535,2354,45,41,3
38,295,342,9,513,88.99821671903074,11904,7277,62,64,3
38,382,257,9,564,72.29205297428405,6380,3695,55,58,2
38,411,383,8,610,97.44234838422138,15624,8336,62,63,4
38,495,362,6,625,128.32528346993533,35685,20010,61,65,9
38,444,263,1,642,102.14119837416388,17995,11240,59,61,5
38,544,236,2,671,119.28916005772298,28665,15115,65,63,7
38,595,318,7,703,105.00419677478592,19551,10827,57,49,7
38,552,373,9,718,69.4551808203156,5658,2892,46,41,3
39,133,260,8,4,99.23045437643665,16500,9455,55,60,5
39,177,210,2,35,108.48422333059587,21560,12199,56,55,7
39,190,347,9,67,61.11121270292338,3854,1469,47,41,2
39,236,395,3,98,116.1075177623504,26432,13628,59,56,8
39,297,162,10,162,39.440000979991716,1036,828,37,28,1
39,265,158,3,194,114.7804584756891,25536,14271,57,56,8
39,404,173,1,225,95.78444023719373,14840,9663,56,53,5
39,220,290,1,259,90.56540780552547,12544,6971,56,56,4
39,339,276,1,290,89.47415206107169,12096,7046,54,56,4
39,318,398,2,322,103.62741541979447,18792,11929,54,58,6
39,419,380,2,353,117.25722933996317,27225,10783,55,55,9
39,405,110,8,386,89.47415206107169,12096,6781,56,54,4
39,506,160,7,417,108.46073681257884,21546,12540,54,57,7
39,544,262,9,480,66.21272080587889,4902,2239,43,38,3
39,296,344,9,513,91.78119593884239,13056,7122,64,68,3
39,384,256,9,564,64.82406715615963,4600,2765,46,50,2
39,409,382,8,610,106.03069063740426,20130,10267,61,66,5
39,490,362,6,625,124.71871558373427,32760,19353,63,65,8
39,438,263,1,642,102.71503737193319,18300,10305,60,61,5
39,542,237,2,671,119.2600224991487,28644,15413,66,62,7
39,595,324,7,703,105.8618684740378,20034,11433,54,53,7
39,544,378,9,718,55.96470715870392,2960,1653,37,40,2
40,133,264,9,4,92.15459791868572,13216,6747,56,59,4
40,173,199,2,35,108.48422333059587,21560,13090,55,56,7
40,187,345,9,67,53.952077422873906,2652,1142,34,39,2
40,224,394,3,98,116.79456048454063,26904,14003,59,57,8
